# source_cycle=C:\Projects\SiCTransistorModelDriveCycles\sim\research_exports\wltc\wltc_class3_official.csv
# temperature_sample_count=1801
# turning_point_count=415
# minimum_tj_c=60.000000000
# maximum_tj_c=71.169736846
# equivalent_full_cycles=207.000000000
# maximum_delta_tj_c=11.169736846
# weighted_mean_delta_tj_c=1.541530441
# maximum_cycle_duration_s=362.000000000
# weighted_mean_cycle_duration_s=12.466183575
cycle_index,delta_tj_c,mean_tj_c,count,minimum_tj_c,maximum_tj_c,start_time_s,end_time_s,duration_s
79,0.299435733,60.748684500,1.0,60.598966634,60.898402367,691.000000000,693.000000000,2.000000000
80,1.002546691,60.716544986,1.0,60.215271640,61.217818331,695.000000000,697.000000000,2.000000000
81,1.637105976,61.023384922,1.0,60.204831934,61.841937910,684.000000000,689.000000000,5.000000000
82,1.770763465,61.031229441,1.0,60.145847708,61.916611173,677.000000000,680.000000000,3.000000000
83,3.622891344,61.838462551,1.0,60.027016879,63.649908223,665.000000000,670.000000000,5.000000000
84,0.098298208,60.103419250,1.0,60.054270146,60.152568354,703.000000000,704.000000000,1.000000000
85,0.356208127,60.333285839,1.0,60.155181775,60.511389903,706.000000000,709.000000000,3.000000000
86,0.617286301,60.561991825,1.0,60.253348674,60.870634975,713.000000000,715.000000000,2.000000000
87,0.064525810,61.160317084,1.0,61.128054179,61.192579989,721.000000000,723.000000000,2.000000000
88,1.702091964,60.966894463,1.0,60.115848481,61.817940445,711.000000000,717.000000000,6.000000000
89,0.288084520,60.817946781,1.0,60.673904521,60.961989041,736.000000000,738.000000000,2.000000000
90,1.213529446,61.186283586,1.0,60.579518863,61.793048310,732.000000000,740.000000000,8.000000000
91,0.876545254,61.001109026,1.0,60.562836399,61.439381653,745.000000000,748.000000000,3.000000000
92,2.662740518,61.427840198,1.0,60.096469939,62.759210457,753.000000000,758.000000000,5.000000000
93,4.149335671,62.160585908,1.0,60.085918072,64.235253743,727.000000000,764.000000000,37.000000000
94,5.294875237,62.662591405,1.0,60.015153786,65.310029024,611.000000000,701.000000000,90.000000000
95,0.627695599,65.367515349,1.0,65.053667550,65.681363149,774.000000000,775.000000000,1.000000000
96,0.470020560,61.634249132,1.0,61.399238852,61.869259412,784.000000000,786.000000000,2.000000000
97,0.426937064,61.159202542,1.0,60.945734010,61.372671074,789.000000000,791.000000000,2.000000000
98,3.799754794,62.561544778,1.0,60.661667381,64.461422175,793.000000000,796.000000000,3.000000000
99,2.060490969,61.313992943,1.0,60.283747459,62.344238428,808.000000000,812.000000000,4.000000000
100,0.009758701,62.205149777,1.0,62.200270427,62.210029128,826.000000000,827.000000000,1.000000000
101,0.285443397,62.300493236,1.0,62.157771537,62.443214934,823.000000000,825.000000000,2.000000000
102,0.072573953,61.180082240,1.0,61.143795263,61.216369216,833.000000000,835.000000000,2.000000000
103,0.038021082,61.625623046,1.0,61.606612505,61.644633587,839.000000000,840.000000000,1.000000000
104,1.261606942,61.738621846,1.0,61.107818375,62.369425317,836.000000000,842.000000000,6.000000000
105,0.012051253,61.767872977,1.0,61.761847351,61.773898604,852.000000000,853.000000000,1.000000000
106,1.727877638,61.850164260,1.0,60.986225440,62.714103079,850.000000000,856.000000000,6.000000000
107,0.608770116,62.676583117,1.0,62.372198059,62.980968175,859.000000000,860.000000000,1.000000000
108,2.483497818,62.209223603,1.0,60.967474694,63.450972512,830.000000000,846.000000000,16.000000000
109,1.756658964,63.054745558,1.0,62.176416075,63.933075040,865.000000000,867.000000000,2.000000000
110,4.610053781,62.463110493,1.0,60.158083603,64.768137384,819.000000000,863.000000000,44.000000000
111,0.582028707,60.430100351,1.0,60.139085997,60.721114704,874.000000000,876.000000000,2.000000000
